매장명,지역,주소,전화번호
양주송추점,경기,경기 양주시 장흥면 호국로 557 (부곡리),031-877-3580
양주신산점,경기도,"경기도 양주시 남면 개나리길 76 , 1층",031-868-4033
양주옥정점,경기도,"경기도 양주시 옥정동로 274, 제1동 103 ,104호(옥정동 , 옥정메디컬프라자) ",031-861-1888
양주장흥점,경기도,"경기도 양주시 장흥면 호국로 173, 나동 1층",031-855-5275
양촌사거리점,경기,"경기 광주시 양벌로 325 (양벌동, 진흥빌딩)",031-763-3666
양평물맑은시장점,경기도,"경기도 양평군 양평읍 양평시장길7번길 2 , 1층",031-772-9780
양평용문점,경기도,"경기도 양평군 용문면 용문역길 26 , (다문리)1층",031-774-1369
어룡역점,경기도,"경기도 의정부시 용현로105번길 37, 1층(민락동)",031-851-3009
어정역점,경기,"경기 용인시 기흥구 어정로 129 (상하동, 어정프라자)",031-546-0991
에브리데이병점점,경기도,"경기도 화성시 병점1로 66-10, 1층 일부호(병점동)",031-224-0009
여주오학점,경기,"경기 여주시 도예로 37 (현암동, 벽산아파트)",031-883-0888
여주중앙점,경기도,"경기도 여주시 세종로 18 , 1층 (홍문동)",031-881-2907
역곡남부역점,경기도,"경기도 부천시 경인로 517 , 103호 (괴안동 , 1층)",032-342-2111
역곡북부역점,경기도,"경기도 부천시 역곡로 7, 101호,106호(스카이빌딩)",032-345-1123
역곡중앙점,경기도,"경기도 부천시 지봉로 130, 1층 101호 일부호(역곡동 , 호진빌딩)",032-344-0555
연성대점,경기,경기 안양시 만안구 양화로 42 (안양동),031-465-7123
연천역점,경기,경기 연천군 연천읍 연천로270번길 3 (차탄리),031-834-8889
연천전곡점,경기도,"경기도 연천군 전곡읍 전곡로 158 , (전곡리)1층",031-833-3336
영통청명점,경기,"경기 수원시 영통구 봉영로 1623 (영통동, 드림피아빌딩), 1층 108호",031-273-7786
영흥숲푸르지오점,경기,"경기 수원시 영통구 영흥숲길 50 (원천동, 영흥숲푸르지오파크비엔)",031-212-8884
오남점,경기도,"경기도 남양주시 오남읍 진건오남로 517, 1층",031-575-0806
오리역점,경기도,"경기도 성남시 분당구 성남대로 38 , 101호 (구미동 , 케이앤에프코퍼레이션)",031-712-6789
오산가수안길점,경기,경기 오산시 가수안길 32 (가수동),031-377-8889
오산가장산업단지점,경기,경기 오산시 가장산업동로 32 (가장동),031-375-4048
오산갈곶점,경기도,"경기도 오산시 오산로 79, 1층 (갈곶동)",031-373-0100
오산고현점,경기도,"경기도 오산시 남부대로 411-12, 1층 105호",031-665-5677
오산궐동점,경기도,"경기도 오산시 대호로 97 , 104~105호(궐동 , 골드뷰아파트)",031-373-1567
오산대궐리사로점,경기,"경기 오산시 궐리사로 92 (궐동, 광산빌딩)",031-375-4610
오산더테라스퀘어점,경기,"경기 오산시 동부대로 332-13 (고현동), 오산더테라스퀘어 나동 1층 108-1호",031-611-1116
오산로데오점,경기도,"경기도 오산시 오산로212번길 5 , 1층 (원동)",031-373-3078
오산롯데캐슬스카이파크점,경기,"경기 오산시 원당로 35 (원동, 오산롯데캐슬스카이파크)",031-377-8682
오산세교점,경기도,"경기도 오산시 수청로 197 , 백현프라자 105호(금암동)",031-375-1567
오산수청점,경기도,"경기도 오산시 내삼미로 93 , 백현프라자 106호 (수청동)",031-375-1811
오산시청점,경기도,"경기도 오산시 성호대로 127 , 105호(오산동 , 웰리스타워)",031-378-5858
오산시티자이점,경기도,"경기도 오산시 부산중앙로 42 , 1층 108호 (부산동 , 오산시티자이 2차)",031-372-0427
오산오색시장점,경기,"경기 오산시 성호대로 80 (원동), 1층 일부호",031-378-1005
오산우미린점,경기,경기 오산시 수청로 30-8 (수청동),031-373-0328
오산원동점,경기도,"경기도 오산시 경기대로 154 , 패션폴라리스빌딩 123호 (원동)",031-376-2358
오산죽미마을점,경기도,"경기도 오산시 수목원로 458, 1층 106호(금암동 , 세교삼성프라자)",031-378-3076
오산중앙점,경기,"경기 오산시 오산로160번길 15 (원동, 코스모타워), 코스모타워 106호",031-377-1770
오산호반라포레점,경기,경기 오산시 죽담3로 12 (궐동),031-377-3117
오이도점,경기,경기 시흥시 오이도로 115 (정왕동),031-434-1002
오포더샵점,경기,"경기 광주시 태성1로 14 (고산동, 더샵오포센트럴포레), 111호",031-767-5847
옥길지구점,경기도,"경기도 부천시 옥길로 113 , 106호 (옥길동 , 상림프라자)",032-347-5870
옥정노블랜드점,경기,"경기 양주시 옥정동로7길 20 (옥정동), 104, 105호",031-866-4536
옥정다올스퀘어점,경기도,"경기도 양주시 옥정로 139 , 1층 (옥정동 , 다올스퀘어빌딩)",031-858-9849
옥정신도시점,경기도,"경기도 양주시 옥정동로7나길 15, 103호(옥정동 , 폴리프라자1)",031-858-7179
옥정제이드웰점,경기도,"경기도 양주시 옥정동로4길 3 , 109호 (옥정동)",031-867-4033
옥정중앙점,경기,"경기 양주시 옥정서로 227 (옥정동), 104호",031-865-0777
옥정호수공원점,경기도,"경기도 양주시 옥정동로 193 , (옥정동)",031-868-0829
용인강남대점,경기도,"경기도 용인시 기흥구 구갈동 594-2, 1층 104호 ",031-286-5727
용인기흥점,경기,"경기 용인시 기흥구 덕영대로2077번길 16 (영덕동, 대정프라자)",031-282-2221
용인대점,경기,"경기 용인시 처인구 용인대학로 134 (삼가동, 용인대학교)",031-8020-3909
용인동백점,경기도,"경기도 용인시 동백중앙로 283 , D동 125호 (중동 , 골드프라자)",031-274-9533
용인둔전점,경기도,"경기도 용인시 처인구 포곡읍 포곡로 114 , 1층",031-338-3192
용인마북점,경기도,"경기도 용인시 기흥구 마북로154번길 3 , 1층 (마북동 , 테라스가든 B빌딩)",031-282-4499
용인물푸레마을점,경기도,"경기도 용인시 기흥구 구성3로28번길 30 , 1층 (청덕동 , 구성프라자)",031-274-8638
용인백현마을점,경기도,"경기도 용인시 기흥구 동백7로 79 , 103호 (동백동 , 두빈빌딩)",031-285-3350
용인보라나곡점,경기,"경기 용인시 기흥구 사은로 130-8 (보라동), 104호, 105호",031-284-0656
용인보라점,경기도,"경기도 용인시 기흥구 한보라1로 14, 베스트프라자 108호",031-284-4849
용인보정점,경기,"경기 용인시 기흥구 보정로 32 (보정동, 지젤스포츠클럽), 1층 122호, 123호",031-261-1113
용인상갈점,경기도,"경기도 용인시 기흥구 금화로 106, 103 ,104호(상갈동)",031-284-2111
용인서천마을점,경기도,"경기도 용인시 기흥구 서천로 121, 1층 (서천동)",031-203-1811
용인서희스타힐스점,경기,"경기 용인시 처인구 낙은로 100-30 (역북동, 서희스타힐스 포레스트)",031-338-1008
용인성복역점,경기도,"경기도 용인시 수지구 수지로 125 , (성복동, 원흥빌딩)B동 1층",031-272-6381
용인신갈점,경기,"경기 용인시 기흥구 신구로12번길 2-1 (신갈동, 이레빌)",031-283-0302
용인신봉마을점,경기도,"경기도 용인시 수지구 신봉2로 15 , 1층 (신봉동 ,홍천말프라자2호)",031-236-3345
용인신봉초사거리점,경기,"경기 용인시 수지구 신봉1로 165 (신봉동, 동광프라자)",031-897-1007
용인양지점,경기도,경기도 용인시 처인구 양지면 양지로 158-1,031-338-6711
용인언남점,경기도,"경기도 용인시 기흥구 구성로 103 , 113호 (언남동 , 멀티프라자)",031-281-0927
용인에버랜드역점,경기도,"경기도 용인시 처인구 포곡읍 전대로78번길 22-1, 1층, 2층",031-332-2171
용인역북점,경기도,"경기도 용인시 처인구 명지로 60번길 8-4, (역북동)1층 110호 ",031-322-3977
용인외대사거리점,경기,경기 용인시 처인구 모현읍 외대로 6 (왕산리),031-339-3595
용인원희캐슬점,경기,"경기 용인시 기흥구 서천로201번길 14 (농서동, 프리미엄원희캐슬 기흥서천)",031-889-0230
용인죽전점,경기도,"경기도 용인시 수지구 현암로 139 , 동산프라자 가동 1층 101호 (죽전동)",031-261-4012
용인중앙시장점,경기,경기 용인시 처인구 백옥대로 1121 (김량장동),031-321-1002
용인중앙지구대점,경기,"경기 용인시 처인구 금령로 21 (김량장동, 메디타워)",031-323-1303
용인처인구청점,경기도,"경기도 용인시 처인구 김량장동 295-1 , 1층",031-321-5006
용인천리점,경기도,"경기도 용인시 처인구 이동읍 백옥대로 625 , (영찬빌딩)",031-333-9007
용인풍덕천점,경기도,"경기도 용인시 수지구 문인로 57, 104호 삼익상가동(풍덕천동)",031-276-7771
용인한숲시티점,경기도,"경기도 용인시 처인구 남사면 한숲로 45 , 136호 (한숲시티)",031-335-3742
용인호수마을점,경기,경기 용인시 기흥구 평촌1로1번길 1 (동백동),031-274-0214
용인흥덕점,경기도,"경기도 용인시 기흥구 흥덕2로87번길 18 , C동 117호(영덕동)",031-215-8003
운정가람마을점,경기도,"경기도 파주시 미래로 622 , 107호(와동동)",031-944-7789
운정산내마을점,경기,"경기 파주시 심학산로423번길 7-29 (목동동), 103호",031-944-7787
운정신도시1호점,경기도,"경기도 파주시 청암로17번길 53 , (목동동)1층",031-944-5700
운정아이파크점,경기도,"경기도 파주시 심학산로 384 , 1층 (동패동, 운정신도시 IPARK)",031-944-5576
운정이마트점,경기도,"경기도 파주시 미래로 371 , 109호(동패동)",031-943-7859
운정해솔마을점,경기도,"경기도 파주시 와석순환로 425 , 103호(와동동 , 캐슬프라자)",031-943-5580
운정해오름마을점,경기도,"경기도 파주시 해올1길 7, 하모니타워 108호 파주운정3지구 F7블럭 1-13로트",031-948-1850
운정힐스테이트점,경기도,"경기도 파주시 교하로 100, 940동 105호(목동동 , 힐스테이트 운정)",031-946-4270
원시역점,경기도,"경기도 안산시 단원구 별망로 555 , 124호 (원시동)",031-5183-1414
원종사거리점,경기도,"경기도 부천시 원종로 33 , 1층 (원종동)",032-677-5559
원종중앙점,경기도,"경기도 부천시 소사로 805, 1층 일부호(원종동)",032-677-3927
원흥역점,경기도,"경기도 고양시 덕양구 삼송로 8 , 1층 105호(원흥동 , 한일골드타워)",031-965-1101
원흥중앙점,경기도,"경기도 고양시 덕양구 도래울로 103 , 1층 (도내동 , 대영프라자)",031-966-6807
원흥지식산업센터점,경기,"경기 고양시 덕양구 삼원로 73 (원흥동, 고양 원흥 한일윈스타 지식산업센터), 1층 109호",031-968-0999
월곶역점,경기,경기 시흥시 월곶중앙로46번길 34 (월곶동),031-362-6456
월피현대점,경기,경기 안산시 상록구 충장로 576 (월피동),031-410-0427
위례신도시점,경기도,"경기도 성남시 수정구 위례광장로 310, 우성트램타워 A동 107호",031-752-8764
위례우남역점,경기도,"경기도 성남시 수정구 위례서일로 30 , 109호 (창곡동)",031-757-0336
위례지웰점,경기도,"경기도 하남시 위례대로 220, 106호(학암동 , 위례 지웰푸르지오)",02-400-5461
위례호반점,경기도,"경기도 성남시 수정구 위례동로 153 , 11호(창곡동,에이플타워)",031-759-4100
은행로데오점,경기도,"경기도 시흥시 은행로155번길 16 , 1층 (은행동)",031-313-7669
의왕고천파크루체점,경기,"경기 의왕시 안골로 10 (고천동, e편한세상 고천 파크루체)",031-452-1002
의왕내손점,경기도,"경기도 의왕시 포일로 43 , 110호 (내손동 , 대림프라자)",031-422-9815
의왕백운해링턴점,경기,"경기 의왕시 백운중앙로 46 (학의동, 의왕백운해링턴플레이스 1단지)",031-422-6443
의왕삼동점,경기도,"경기도 의왕시 부곡중앙남7길 8-10, B101호(삼동 , 포레타워)",031-462-3330
의왕스마트시티퀀텀점,경기,경기 의왕시 광진말로 54 (초평동),031-8058-8088
의왕시티병원점,경기도,"경기도 의왕시 전주남이길 8, 1층(오전동)",031-457-7787
의왕역점,경기도,"경기도 의왕시 부곡중앙로 7 , 1층 (삼동)",031-461-2990
의왕오전점,경기도,"경기도 의왕시 모락로 28 , 1층 102-2호(오전동)",031-427-3157
의왕포일점,경기도,"경기도 의왕시 안양판교로 99 , 106호(포일동 , 스마일타워)",031-425-0560
의정부가능SK점,경기도,"경기도 의정부시 신촌로 19, 1층(가능동)",031-878-3010
의정부경의교차로점,경기도,"경기도 의정부시 경의로 107, 1층 104호(의정부동 , 원광빌딩)",031-855-0133
의정부고산점,경기도,"경기도 의정부시 월유로 13 , 1층 (산곡동)",031-841-3008
의정부고산초점,경기,경기 의정부시 덤바위길 6 (산곡동),031-841-8800
의정부공고점,경기,경기 의정부시 가능로 82 (의정부동),031-872-1002
의정부금오점,경기도,"경기도 의정부시 부용로 105 , 프레티넘프라자2 105호(금오동)",031-851-2020
의정부낙양점,경기도,"경기도 의정부시 용민로 397, 1층 (낙양동)",031-851-7822
의정부녹양점,경기도,"경기도 의정부시 비우로 57, 1층(녹양동)",031-877-4523
의정부동오마을점,경기도,"경기도 의정부시 추동로 19번길 7, 1층",031-846-2790
의정부듀클래스점,경기,"경기 의정부시 문화로 6 (고산동), A동 131호",031-8035-4556
의정부로데오점,경기도,"경기도 의정부시 행복로 19 , 1층(의정부동)",031-848-3334
의정부롯데캐슬점,경기도,"경기도 의정부시 범골로63번길 13, 113동 107호(의정부동 , 의정부롯데캐슬 골드파크 1단지)",031-877-0925
의정부망월사점,경기도,"경기도 의정부시 평화로 209 , (호원동)104호(보광그랑베르아파트상가)",031-836-2727
의정부민락KT점,경기도,"경기도 의정부시 용현로 154 , 1층(민락동)",031-852-8806
의정부민락점,경기도,"경기도 의정부시 오목로225번길 157 , (민락동)1층 메가커피",031-851-0462
의정부발곡점,경기도,"경기도 의정부시 회룡로 178 , 112호 (장암동 , 발곡프라자)",031-879-3007
의정부송산초점,경기,"경기 의정부시 오목로 221 (민락동, 골드노블레스프라자)",031-851-2929
의정부송양점,경기,"경기 의정부시 송양로 46 (낙양동, 의정부 민락 푸르지오)",031-853-1007
의정부시청점,경기,"경기 의정부시 시민로 39 (의정부동, 대정프라자), 1층 103호",031-829-5004
의정부신곡점,경기도,"경기도 의정부시 발곡로 29 , 1층 (신곡동)",031-829-7776
의정부신곡중앙점,경기,"경기 의정부시 동일로454번길 19 (신곡동), 1층",031-848-8772
의정부신곡초점,경기,"경기 의정부시 능곡로 42 (신곡동, 벽산프라자)",031-821-4536
의정부역센트럴푸르지오점,경기,경기 의정부시 경의로132번길 69 (의정부동),031-855-2718
의정부역점,경기도,"경기도 의정부시 시민로 75, 가동 1층 (의정부동)",031-837-8636
의정부용현점,경기,"경기 의정부시 오목로 11 (용현동), 1층 정면좌측 첫번째 상가",031-842-2020
의정부중앙역점,경기,경기 의정부시 호국로 1310 (의정부동),031-847-1007
의정부중앙점,경기도,"경기도 의정부시 태평로73번길 50, 1층(의정부동)",031-841-0099
의정부탑석자이점,경기도,"경기도 의정부시 용민로 10, 상가1동 1층 101호(용현동 , 탑석센트럴자이)",031-852-8884
의정부호암초점,경기,경기 의정부시 평화로 150 (호원동),031-878-6580
의정부호원점,경기,경기 의정부시 평화로 243 (호원동),031-877-1118
의정부효자초점,경기도,"경기도 의정부시 부용로 208, 1층(신곡동)",031-852-1225
이마트분당점,경기도,"경기도 성남시 분당구 불정로 134 , 3층 (정자동 , 이마트)",031-716-6886
이매역점,경기,"경기 성남시 분당구 이매로 54 (이매동, 이매촌성지아파트), 분산상가동 1층 102호",031-706-1006
이천갈산점,경기도,"경기도 이천시 안흥로 70, 1층(갈산동)",031-636-1255
이천마장점,경기,"경기 이천시 마장면 중앙로10번길 1 (오천리), 1동 101호",031-631-7700
이천분수대오거리점,경기,경기 이천시 이섭대천로 1242 (창전동),031-636-4040
이천송정점,경기도,"경기도 이천시 증신로291번길 129, 1층(송정동)",031-635-9526
이천중앙점,경기도,"경기도 이천시 서희로 57 , (창전동, 연세한빛소아과)1층",031-633-5830
이천증포점,경기도,"경기도 이천시 이섭대천로 1411, 1층(증포동)",031-637-8865
이천터미널점,경기도,"경기도 이천시 이섭대천로 1203, 1~2층 (중리동)",031-635-1771
이천하이닉스점,경기도,경기도 이천시 부발읍 경충대로2092번길 39-7,031-637-9958
인계파밀리에점,경기,"경기 수원시 팔달구 세지로 211 (인계동, 인계 파밀리에), 1층 106호",031-232-0116
인덕원벌말점,경기도,"경기도 안양시 동안구 흥안대로456번길 42, 1층(평촌동)",031-421-4556
인덕원삼성점,경기,"경기 안양시 동안구 안양판교로 40 (관양동, 인덕원삼성아파트 상가동)",031-426-0222
일산가로수길점,경기도,"경기도 고양시 일산서구 주엽로 80 , E동 113호 (대화동)",031-929-5355
일산가좌마을점,경기,경기 고양시 일산서구 가좌3로 27 (가좌동),031-919-0502
일산가좌점,경기도,"경기도 고양시 일산서구 가좌1로 8 , (가좌동, 가좌마을5단지)108호",031-919-1799
일산강선점,경기도,"경기도 고양시 일산서구 대산로 124, 1층 (주엽동)",031-917-9171
일산강선초교점,경기,"경기 고양시 일산서구 강성로 101 (주엽동, 제일프라자)",031-922-1655
일산고양점,경기도,"경기도 고양시 덕양구 혜음로 37 , (고양동)101호",031-964-3986
일산국립암센터점,경기도,"경기도 고양시 일산동구 일산로330번길 12-11, 1층 일부호(마두동)",070-7782-0570
일산대화마을점,경기도,"경기도 고양시 일산서구 대화로 136 , 1층 (대화동 , 대성프라자)",031-912-1919
일산대화점,경기도,"경기도 고양시 일산서구 일산로 662, 1층 102호(대화동 , 하나로프라자)",031-919-0579
일산덕이로사거리점,경기,경기 고양시 일산서구 덕산로 321 (덕이동),031-922-2705
일산동구청점,경기도,"경기도 고양시 일산동구 정발산로 38 , (장항동, 장항동이스턴시티)",031-903-5634
일산라페스타점,경기도,"경기도 고양시 일산동구 무궁화로 31-2, 풍성프라자 1층 109호 ",031-925-0919
일산레이킨스몰점,경기도,"경기도 고양시 일산서구 호수로 817 , (대화동)",031-921-9310
일산마두공원점,경기도,"경기도 고양시 일산동구 강송로 180, 1층(마두동)",031-904-6738
일산문촌마을점,경기도,"경기도 고양시 일산서구 중앙로 1493 , (주엽동, 문촌마을12단지아파트)",031-917-3287
일산문화광장점,경기도,"경기도 고양시 일산동구 중앙로1275번길 38-15 , 101호(장항동 , 삼희포시즌프라자)",031-932-0088
일산백마마을점,경기도,"경기도 고양시 일산동구 일산로 238 , 102호(마두동 ,대일상가)",031-901-4035
일산백병원점,경기,경기 고양시 일산서구 호수로856번길 73-3 (대화동),031-813-0579
일산보건소사거리점,경기도,"경기도 고양시 일산서구 원일로 117, 107호(일산동 , MEGACITY)",031-977-7036
일산서구점,경기도,"경기도 고양시 일산서구 산현로92번길 60, 1층 (일산동)",031-911-0627
일산서정마을점,경기도,"경기도 고양시 덕양구 서정마을1로 4-9, 미라클프라자 106호",031-971-2018
일산식사지구점,경기도,"경기도 고양시 일산동구 위시티로 67 , 1층 (식사동)",031-963-2010
일산에듀포레점,경기도,"경기도 고양시 일산서구 탄현로 136, 상가동 109호(탄현동 , 일산에듀포레푸르지오)",031-913-3222
일산역점,경기,"경기 고양시 일산서구 고양대로 666 (일산동, e편한세상 일산 어반스카이), 상가동 D109호",031-977-3111
일산원당시장점,경기도,"경기도 고양시 덕양구 호국로790번길 17, 110(성사동 ,영프라자)",031-967-6051
일산웨스턴돔점,경기,"경기 고양시 일산동구 정발산로 24 (장항동, 웨스턴돔1)",031-901-1005
일산장항쌍용점,경기,경기 고양시 일산동구 장항한강3로 30 (장항동),070-5208-8015
일산장항점,경기,"경기 고양시 일산동구 중앙로1261번길 61 (장항동, 메트로골드), 103호",031-906-1005
일산저동점,경기도,"경기도 고양시 일산동구 대산로 20, 1층(정발산동)",031-922-0577
일산중산마을점,경기도,"경기도 고양시 일산동구 중산로 244 , 103호(중산동 , 고은프라자)",031-976-7774
일산탄현마을점,경기,"경기 고양시 일산서구 현중로26번길 7-1 (탄현동), 1층",031-911-2609
일산탄현점,경기도,"경기도 고양시 일산서구 일현로 48 , 106~107호 (탄현동 , 현해프라자)",031-923-5444
일산풍동점,경기도,"경기도 고양시 일산동구 숲속마을1로 71 , 107호 (풍동 , 샘터17)",031-909-0903
일산하이파크시티점,경기,"경기 고양시 일산서구 하이파크2로 40 (덕이동, 금문프라자)",031-923-2005
일산한뫼초점,경기도,"경기도 고양시 일산서구 고양대로 632, 1층 (일산동)",031-977-4955
일산후곡사거리점,경기도,"경기도 고양시 일산서구 후곡로 22, 103호 104호(일산동 , 신일빌딩)",031-925-5559
일산후곡점,경기도,"경기도 고양시 일산서구 일산로 529 , B동 106호",031-911-7727
장안구청점,경기도,"경기도 수원시 장안구 송원로 83 , 109호 (조원동)",031-245-1717
장현점,경기도,"경기도 남양주시 진접읍 장현로 78 , (장현리, 대명아파트)109,110의1",031-573-7011
정발산점,경기도,"경기도 고양시 일산동구 일산로 451 , 1층 (정발산동)",031-913-5556
정왕역점,경기도,"경기도 시흥시 마유로418번길 10 , 106~107호 (정왕동 , 롯데시네마 시화점)",031-319-0221
정자엠코점,경기도,"경기도 성남시 분당구 정자일로 136 , 제씨 103호 (정자동 , 정자역 엠코헤리츠 3단지)",031-778-7005
정자역점,경기도,"경기도 성남시 분당구 성남대로331번길 13, 1층 110호(정자동)",031-712-4758
정자점,경기도,"경기도 성남시 분당구 정자일로 230 , 116호(정자동 , 동양정자파라곤 3단지 상가)",031-718-4758
제2테크노밸리점,경기,"경기 성남시 수정구 창업로 43 (시흥동), A동 104호",031-752-2015
주엽역점,경기도,"경기도 고양시 일산서구 주화로 70 , 우신프라자 102호",031-922-0445
죽전단대점,경기도,"경기도 용인시 수지구 죽전로 150, 1층 107호(죽전동 , 단대프라자)",031-263-8802
죽전벽산타운점,경기도,"경기도 용인시 수지구 용구대로2801번길 7, 동림상가 1층 일부호(죽전동)",031-264-6909
죽전보정점,경기도,경기도 용인시 기흥구 보정동 1207-2,031-889-7865
죽전중앙점,경기도,"경기도 용인시 수지구 대지로 46, 1층 (죽전동)",031-262-9777
중대물빛공원점,경기,경기 광주시 순암로 298 (중대동),031-769-5556
중동남부역사거리점,경기,경기 부천시 경인로 74 (송내동),032-652-1005
중동센트럴푸르지오점,경기도,"경기도 부천시 소향로 181 , 103호 (중동 , 센트럴파크 푸르지오)",032-327-1063
중동역북부점,경기도,"경기도 부천시 중동로 100 , 아이파크상가동 116호(중동 , 펠리스카운티)",032-656-8883
중동역푸르지오점,경기,경기 부천시 경인로 120 (송내동),032-655-1117
지축역점,경기,"경기 고양시 덕양구 지축1로 73 (지축동), 103호",02-381-0817
지축한솔에듀타운점,경기,경기 고양시 덕양구 오부자로 133 (지축동),02-371-1887
지행역점,경기도,경기도 동두천시 지행동 721-1,031-862-8787
진접롯데시네마점,경기도,"경기도 남양주시 진접읍 해밀예당1로 36 , 1층 (래일스타)",031-574-6389
진접반도유보라점,경기도,"경기도 남양주시 진접읍 해밀예당3로 130, 1층 105호(신세계프라자)",031-571-3338
진접역점,경기,"경기 남양주시 진접읍 경복대로 233 (금곡리), 주건축물제1동 1층 110호",031-575-0503
천천중앙점,경기,경기 수원시 장안구 정자로 20 (천천동),031-271-5713
철산로데오점,경기도,"경기도 광명시 오리로856번길 8, 1층 102호(철산동 , 금봉빌딩)",02-2066-5144
철산롯데캐슬점,경기도,"경기도 광명시 시청로 50, 철산롯데캐슬에스케이뷰클래스티지 상가 A동 1층 121호(철산동)",02-2612-0333
킨텍스원시티점,경기도,"경기도 고양시 일산동구 월드고양로 19, 상가동3동 1층 222호(장항동 , 킨텍스원시티 2블럭)",031-911-1655
탄현제니스점,경기,"경기 고양시 일산서구 일현로 97-11 (탄현동, 일산 위브더제니스), 판매시설동 1층 129호",031-923-3354
탄현큰마을점,경기도,"경기도 고양시 일산서구 일현로 137 , 1층 (탄현동 , 한일상가)",031-919-8829
태평역점,경기도,"경기도 성남시 수정구 수정로 71 , 1층 2호 (태평동 , 평화빌딩)",031-755-3993
퇴계원점,경기도,"경기도 남양주시 퇴계원면 퇴계원로 60 , 1층",031-529-7955
파주LCD점,경기도,"경기도 파주시 월롱면 엘씨디로241번길 8-25, 1층 102호(파크뷰)",031-941-1123
파주LG디스플레이단지점,경기,"경기 파주시 월롱면 엘씨디로 16 (덕은리, 신한은행)",031-949-6030
파주가람9단지점,경기,"경기 파주시 미래로 564 (와동동, 가람마을9단지 남양휴튼), 지층 115호",031-946-7369
파주경찰서점,경기도,"경기도 파주시 쇠재2길 4, 102호(금릉동)",031-941-3224
파주광탄점,경기도,"경기도 파주시 광탄면 혜음로 1127 , 1층 ",031-949-2197
파주교하점,경기도,"경기도 파주시 청석로 264 , 102호 (동패동 , 거묵프라자)",031-945-8884
파주금릉점,경기도,"경기도 파주시 금빛로 24-10 , (금촌동, 센터프라자)105호",031-942-1223
파주금승리점,경기도,"경기도 파주시 탄현면 방촌로 1041, 102호(유정상가)",031-946-8977
파주다율초점,경기,경기 파주시 해올로 50-47 (다율동),031-949-3836
파주당동점,경기도,"경기도 파주시 문산읍 당동1로 43 , 103호 ",031-952-7977
파주당동중앙점,경기,"경기 파주시 문산읍 당동2로 11-5 (당동리), 1층",031-953-2425
파주문발점,경기도,"경기도 파주시 숲속노을로 275 , (문발동)",031-947-7001
파주문산사거리점,경기,경기 파주시 문산읍 통일로 1698 (선유리),031-952-7672
파주문산점,경기도,경기도 파주시 문산읍 문향로67번길 2,031-943-3343
파주물향기마을점,경기,경기 파주시 물향기1로 194 (목동동),031-943-7355
파주방축사거리점,경기도,"경기도 파주시 광탄면 부흥로 118, 2동 1층 2호",031-949-2882
파주법원사거리점,경기도,경기도 파주시 법원읍 술이홀로 876,031-958-4424
파주법흥리점,경기도,"경기도 파주시 탄현면 하늘소로 102, 103호(정동빌딩)",031-949-0112
파주베네피아점,경기,"경기 파주시 문발로 129 (문발동, 베네피아 파주사옥)",031-937-8668
파주별하람마을점,경기,"경기 파주시 가람로 109 (와동동, 별하람마을3단지 서희스타힐스엔에이치에프)",031-935-5393
파주봉일천점,경기도,"경기도 파주시 조리읍 봉천로 34 , (봉일천리, 실로암안경)1층",031-941-0511
파주선유산단점,경기,경기 파주시 파주읍 우계로 338 (향양리),031-953-3005
파주성동사거리점,경기,"경기 파주시 탄현면 필승로 506 (성동리, 로드빌)",031-949-5976
파주스타디움점,경기,경기 파주시 독암길 3 (금촌동),031-947-9865
파주시청점,경기도,"경기도 파주시 시청로 25, 106호(금촌동 , 광우프라자)",031-946-8620
파주신촌산단점,경기,"경기 파주시 지목로 133 (신촌동, 학산상가)",031-941-5976
파주야당역점,경기도,"경기도 파주시 경의로 1090 , 114호(야당동)",031-944-1382
파주연풍삼거리점,경기도,"경기도 파주시 파주읍 술이홀로 477, 1층 2호",031-952-7036
파주와동점,경기도,"경기도 파주시 가람로116번길 37, 1층 101호(와동동)",031-941-5055
파주운정가람점,경기도,"경기도 파주시 가람로 73 , (와동동)",070-8650-7778
파주운정로데오점,경기,경기 파주시 경의로1240번길 30 (와동동),031-942-1199
파주적성점,경기도,"경기도 파주시 적성면 청송로 1020 , 1층 가호",031-959-8888
파주주내삼거리점,경기도,"경기도 파주시 파주읍 우계로 65, 1층",031-954-7977
파주초롱꽃대방점,경기,경기 파주시 양지로 127 (동패동),031-957-7771
파주초롱꽃마을점,경기,"경기 파주시 초롱꽃로 133-3 (동패동), 1층 103호",031-948-6355
파주탄현초점,경기,"경기 파주시 탄현면 방촌로 656 (축현리, 탄현식품)",031-947-9001
파주한빛마을점,경기도,"경기도 파주시 와석순환로 72 , 101호 (야당동, 홍원프라자)",031-957-5590
판교대장점,경기,"경기 성남시 분당구 판교대장로 92 (대장동), 1층 103호",031-717-1316
판교백현화랑초점,경기,"경기 성남시 분당구 동판교로 92 (백현동, 백현마을3단지)",031-705-3457
판교봇들마을점,경기도,"경기도 성남시 분당구 판교로 375, 1층 103호(삼평동 , 에메트타운)",031-702-5519
판교우림W시티점,경기,"경기 성남시 분당구 판교로255번길 9-22 (삼평동, 판교 우림 W-CITY)",031-628-7737
판교원마을점,경기도,"경기도 성남시 분당구 운중로 242 , 107호(판교동 , 리버스토리)",031-781-8882
판교테크노밸리점,경기도,"경기도 성남시 분당구 대왕판교로 670 , 117호 (삼평동 , 유스페이스2)",031-707-4614
